Attribute,Keyword Value,Syntax,Type,Reference
media,arch-d-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-d-white,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-dxsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-dxsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-dxsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-e,type2 keyword | name(MAX),size name,[RFC2911]
media,arch-e-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-e-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-e-white,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-exsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-exsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,arch-exsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,asme_f_28x40in,type2 keyword | name(MAX),size name,[PWG5101.1]
media,auto-fixed-size-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-fixed-size-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-fixed-size-white,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-synchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-synchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-synchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,auto-white,type2 keyword | name(MAX),media name,[RFC2911]
media,axsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,axsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,axsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,b,type2 keyword | name(MAX),size name,[RFC2911]
media,b-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,b-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,b-white,type2 keyword | name(MAX),media name,[RFC2911]
media,bottom,type2 keyword | name(MAX),input tray,[RFC2911]
media,bxsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,bxsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,bxsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,c,type2 keyword | name(MAX),size name,[RFC2911]
media,c-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,c-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,c-white,type2 keyword | name(MAX),media name,[RFC2911]
media,choice_iso_a4_210x297mm_na_letter_8.5x11in,type2 keyword | name(MAX),size name,[PWG5100.7]
media,cxsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,cxsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,cxsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,d,type2 keyword | name(MAX),size name,[RFC2911]
media,d-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,d-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,d-white,type2 keyword | name(MAX),media name,[RFC2911]
media,default,type2 keyword | name(MAX),media name,[RFC2911]
media,dxsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,dxsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,dxsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,e,type2 keyword | name(MAX),size name,[RFC2911]
media,e-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,e-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,e-white,type2 keyword | name(MAX),media name,[RFC2911]
media,envelope,type2 keyword | name(MAX),input tray,[RFC2911]
media,executive,type2 keyword | name(MAX),size name,[RFC2911]
media,executive-white,type2 keyword | name(MAX),media name,[RFC2911]
media,exsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,exsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,exsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,f,type2 keyword | name(MAX),size name,[PWG5101.1]
media,folio,type2 keyword | name(MAX),size name,[RFC2911]
media,folio-white,type2 keyword | name(MAX),media name,[RFC2911]
media,invoice,type2 keyword | name(MAX),size name,[RFC2911]
media,invoice-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a0,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a0-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a0-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a0-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a0xsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a0xsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a0xsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a1-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1x3-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1x3-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1x3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1x4-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1x4-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1x4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1xsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1xsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a1xsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a2-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x3-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x3-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x4-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x4-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x5-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x5-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2x5-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2xsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2xsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a2xsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a3-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x3-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x3-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x4-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x4-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x5-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x5-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x5-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x6-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x6-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x6-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x7-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x7-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3x7-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3xsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3xsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a3xsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a4-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x3-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x3-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x4-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x4-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x5-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x5-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x5-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x6-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x6-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x6-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x7-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x7-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x7-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x8-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x8-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x8-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x9-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x9-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4x9-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4xsynchro-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4xsynchro-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a4xsynchro-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a5,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a5-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a5-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a5-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a5-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a6,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a6-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a7,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a7-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a8,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a8-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a9,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a9-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-a10,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-a10-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b0,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b0-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b1,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b1-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b2,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b2-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b3,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b4,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b4-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b4-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso-b4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b5,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b5-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b5-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso-b5-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b6,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b6-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b7,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b7-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b8,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b8-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b9,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b9-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-b10,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-b10-white,type2 keyword | name(MAX),media name,[RFC2911]
media,iso-c3,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-c3-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso-c4,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-c4-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso-c5,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-c5-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso-c6,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-c6-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso-designated-long,type2 keyword | name(MAX),size name,[RFC2911]
media,iso-designated-long-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,iso_2a0_1189x1682mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a0_841x1189mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a1_594x841mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a1x3_841x1783mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a1x4_841x2378mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a2_420x594mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a2x3_594x1261mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a2x4_594x1682mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a2x5_594x2102mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3-extra_322x445mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3_297x420mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a0x3_1189x2523mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3x3_420x891mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3x4_420x1189mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3x5_420x1486mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3x6_420x1783mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a3x7_420x2080mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4-extra_235.5x322.3mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4-tab_225x297mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4_210x297mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x3_297x630mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x4_297x841mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x5_297x1051mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x6_297x1261mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x7_297x1471mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x8_297x1682mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a4x9_297x1892mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a5-extra_174x235mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a5_148x210mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a6_105x148mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a7_74x105mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a8_52x74mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a9_37x52mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_a10_26x37mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b0_1000x1414mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b1_707x1000mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b2_500x707mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b3_353x500mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b4_250x353mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b5-extra_201x276mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b5_176x250mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b6_125x176mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b6c4_125x324mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b7_88x125mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b8_62x88mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b9_44x62mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_b10_31x44mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c0_917x1297mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c1_648x917mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c2_458x648mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c3_324x458mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c4_229x324mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c5_162x229mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c6_114x162mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c6c5_114x229mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c7_81x114mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c7c6_81x162mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c8_57x81mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c9_40x57mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_c10_28x40mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_dl_110x220mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_id-1_53.98x85.6mm,type2 keyword | name(MAX),size name,[CANON20180329]
media,iso_id-3_88x125mm,type2 keyword | name(MAX),size name,[CANON20180329]
media,iso_ra0_860x1220mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_ra1_610x860mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_ra2_430x610mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_ra3_305x430mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_ra4_215x305mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_sra0_900x1280mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_sra1_640x900mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_sra2_450x640mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_sra3_320x450mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,iso_sra4_225x320mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis-b0,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b0-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b0-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b0-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b1,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b1-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b1-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b1-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b2,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b2-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b2-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b2-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b3,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b3-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b3-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b3-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b4,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b4-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b4-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b4-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b4-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b5,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b5-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b5-translucent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b5-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b5-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b6,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b6-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b7,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b7-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b8,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b8-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b9,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b9-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis-b10,type2 keyword | name(MAX),size name,[RFC2911]
media,jis-b10-white,type2 keyword | name(MAX),media name,[RFC2911]
media,jis_b0_1030x1456mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b1_728x1030mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b2_515x728mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b3_364x515mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b4_257x364mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b5_182x257mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b6_128x182mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b7_91x128mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b8_64x91mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b9_45x64mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_b10_32x45mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jis_exec_216x330mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_chou2_111.1x146mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_chou3_120x235mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_chou4_90x205mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_chou40_90x225mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_hagaki_100x148mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kahu_240x322.1mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kaku1_270x382mm,type2 keyword | name(MAX),size name,[APPLE20171002]
media,jpn_kaku2_240x332mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kaku3_216x277mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kaku4_197x267mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kaku5_190x240mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kaku7_142x205mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_kaku8_119x197mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_oufuku_148x200mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,jpn_you4_105x235mm,type2 keyword | name(MAX),size name,[PWG5101.1]
media,large-capacity,type2 keyword | name(MAX),input tray,[RFC2911]
media,ledger,type2 keyword | name(MAX),size name,[RFC2911]
media,ledger-white,type2 keyword | name(MAX),media name,[RFC2911]
media,main,type2 keyword | name(MAX),input tray,[RFC2911]
media,manual,type2 keyword | name(MAX),input tray,[RFC2911]
media,middle,type2 keyword | name(MAX),input tray,[RFC2911]
media,monarch,type2 keyword | name(MAX),size name,[RFC2911]
media,monarch-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-5x7,type2 keyword | name(MAX),size name,[RFC2911]
media,na-6x9,type2 keyword | name(MAX),size name,[RFC2911]
media,na-6x9-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-7x9,type2 keyword | name(MAX),size name,[RFC2911]
media,na-7x9-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-8x10,type2 keyword | name(MAX),size name,[RFC2911]
media,na-9x11,type2 keyword | name(MAX),size name,[RFC2911]
media,na-9x11-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-9x12,type2 keyword | name(MAX),size name,[RFC2911]
media,na-9x12-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-10x13,type2 keyword | name(MAX),size name,[RFC2911]
media,na-10x13-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-10x14,type2 keyword | name(MAX),size name,[RFC2911]
media,na-10x14-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-10x15,type2 keyword | name(MAX),size name,[RFC2911]
media,na-10x15-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-legal,type2 keyword | name(MAX),size name,[RFC2911]
media,na-legal-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,na-legal-white,type2 keyword | name(MAX),media name,[RFC2911]
media,na-letter,type2 keyword | name(MAX),size name,[RFC2911]
media,na-letter-colored,type2 keyword | name(MAX),media name,[RFC2911]
media,na-letter-transparent,type2 keyword | name(MAX),media name,[RFC2911]
media,na-letter-white,type2 keyword | name(MAX),media name,[RFC2911]
media,na-number-9,type2 keyword | name(MAX),size name,[RFC2911]
media,na-number-9-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na-number-10,type2 keyword | name(MAX),size name,[RFC2911]
media,na-number-10-envelope,type2 keyword | name(MAX),envelope name,[RFC2911]
media,na_5x7_5x7in,type2 keyword | name(MAX),size name,[PWG5101.1]
media,na_6x9_6x9in,type2 keyword | name(MAX),size name,[PWG5101.1]
media,na_7x9_7x9in,type2 keyword | name(MAX),size name,[PWG5101.1]
media,na_9x11_9x11in,type2 keyword | name(MAX),size name,[PWG5101.1]
media,na_10x11_10x11in,type2 keyword | name(MAX),size name,[PWG5101.1]
media,na_10x13_10x13in,type2 keyword | name(MAX),size name,[PWG5101.1]
